,football.co.uk,id
54,Nantes,nantes
57,Lille,lille
60,Reims,reims
62,Bastia,bastia
64,Evian Thonon Gaillard,evian_thonon_gaillard
65,Guingamp,guingamp
66,Lyon,lyon
67,Montpellier,montpellier
68,Nice,nice
69,St Etienne,st_etienne
71,Lorient,lorient
72,Metz,metz
73,Monaco,monaco
75,Toulouse,toulouse
76,Bordeaux,bordeaux
77,Lens,lens
78,Marseille,marseille
82,Caen,caen
85,Rennes,rennes
88,Paris SG,paris_sg
386,Troyes,troyes
391,Angers,angers
401,Ajaccio GFCO,ajaccio_gfco
765,Dijon,dijon
769,Nancy,nancy
1153,Amiens,amiens
1160,Strasbourg,strasbourg
1538,Nimes,nimes
1904,Brest,brest
2158,Valenciennes,valenciennes
2162,Auxerre,auxerre
2165,Creteil,creteil
2166,Laval,laval
2167,Niort,niort
2168,Sochaux,sochaux
2170,Le Havre,le_havre
2172,Ajaccio,ajaccio
2174,Arles,arles
2178,Orleans,orleans
2183,Chateauroux,chateauroux
2188,Tours,tours
2190,Clermont,clermont
2483,Bourg Peronnas,bourg_peronnas
2488,Red Star,red_star
2550,Paris FC,paris_fc
3259,Quevilly Rouen,quevilly_rouen
3638,Beziers,beziers
3644,Grenoble,grenoble
4002,Chambly,chambly
4007,Rodez,rodez
4009,Le Mans,le_mans
